phoneme_id,symbol,ipa,segment_family,primary_articulators,constriction_gesture,consonant_place,vowel_dynamic,vowel_nucleus_height,vowel_nucleus_backness,vowel_nucleus_rounding,vowel_offglide_height,vowel_offglide_backness,vowel_offglide_rounding,rhotic,voicing,nasal,notes
0,BLANK,not_applicable,ctc_blank,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,CTC alignment state; not a phoneme or silence.
1,AA,ɑ,vowel,tongue_body,vowel,not_applicable,steady,low,back,unrounded,not_applicable,not_applicable,not_applicable,no,voiced,no,
2,AE,æ,vowel,tongue_body,vowel,not_applicable,steady,low,front,unrounded,not_applicable,not_applicable,not_applicable,no,voiced,no,
3,AH,ʌ~ə,vowel,tongue_body,vowel,not_applicable,steady,mid,central,unrounded,not_applicable,not_applicable,not_applicable,no,voiced,no,Stress is absent from the repository vocabulary; use one coarse mid-central target.
4,AO,ɔ,vowel,lips|tongue_body,vowel,not_applicable,steady,mid,back,rounded,not_applicable,not_applicable,not_applicable,no,voiced,no,
5,AW,aʊ,vowel,lips|tongue_body,vowel,not_applicable,diphthong,low,central,unrounded,high,back,rounded,no,voiced,no,
6,AY,aɪ,vowel,tongue_body,vowel,not_applicable,diphthong,low,central,unrounded,high,front,unrounded,no,voiced,no,
7,B,b,consonant,lips,closure,bilabial,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,voiced,no,
8,CH,tʃ,consonant,tongue_front,closure_to_frication,postalveolar,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,voiceless,no,
9,D,d,consonant,tongue_front,closure,alveolar,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,voiced,no,
10,DH,ð,consonant,tongue_front,frication,dental,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,voiced,no,
